text,cluster
"this is based on a recipe from a gourmet magazine pamphlet titled ""every day meals"". the intro to the recipe states, ""if you have regular broccoli on  hand, you could use the florets as a substitute for the broccolini (a cross between broccoli and chinese kale), though the flavor will be somewhat different. round out this stir-fry with cooked white rice.""",1
one of my favorite mollie katzen recipes.,4
"rutagabas are a root vegetable, right? so why not make fries out of them too.
note: these will not be crispy.",7
"this is a wonderful infusion of sweet sun-dried tomatoes, garlic, shallots and fresh herbs and cheese with wonderful orzo, baked to perfection with a simple parmesan/bread crumb topping. i saw a version of this on the food netwook, and adapted it to suit what i had in my pantry and it turned out very flavorful.",3
"yet more quick, easy, and cheap college student food. i picked this one up from my roommate in chicago.",6
i found this one while wandering the website of the australian vegetarian society's website.  it really reflects how modern aussie cuisine has been influenced by other regions of the globe.  plan to try this soon but posting it untried for the zaar world tour. as presented it uses the original ingredients with my interpretation of how to prepare the dish. cooking time is estimated.,1
"good served either hot or chilled. a flavorful french classic (known to the julia child's fans as potage parmentier), commonly seen on the french dinner table between october and march. look for leek that are slim and long (the fatter they are, the stronger and more bitter they taste).",6
"the frugal gourmet cooks with wine – jeff smith – copyright 1986
serve as a vegetable dish with any red meat course",6
kids love these kid-sized tostadas and so do adults that want small portions. they are best eaten on a plate with a knife and fork. serve with a salad side if you want.,6
"i have seen a couple of recipes for taco soup, but this is different. i received it from my ww leader. it is very much like a chili and is so easy.  my family loves it and i love it topped with 1 tbsp low fat sour cream.",3
my grandpa made us kids pancakes and waffles whenever we'd visit.  and he'd serve this apple sauce on the side - we'd eat it as is or top our waffles.  good!,2
i don't remember where i got this recipe. it's simple and good.,4
fantastic flavor. my dh loved this!,5
"great marinade could be used on beef, chicken or turkey. a combination of 2 recipes that i found at porkandhealth.org. bbqing give it a great smokey flavor.",1
this is my variation on plain granola bars.  i threw them together today for a camping trip and the kids loved them.,2
traditional norwegian christmas cookie,2
"a co-worker gave this recipe to me over 40 years ago. anyone that has tasted this bread has always asked for the recipe.  it not only freezes well, but it makes a large batch that will keep for 6 weeks refrigerated.",4
"i saw this recipe by chef steve chiapetti of viand restaurant in chicago on the today show this morning.  i knew that sometime in the future i would love to try this recipe.  i have not tried this as of yet but i am posting for safe keeping.  if anyone chooses to try these please leave some feedback!  i tried to edit slightly as some details were left out from the printed recipe vs demonstration.  there is no mention of servings so i will just use a guesstimate of 24.  cook time is also unknown, a guesstimate as well.  he also mentioned that these could be filled with anything.",4
this is another easy mid-week meal. love 'em!,6
"i found this wonderful recipe in the chicago tribune years ago but it's actually a winning recipe in the 'jones dairy farm annual best recipes of america's bed and breakfast inns roundup. the contestant was the shore house at lake tahoe in tahoe vista, california. serve these with fresh fruit.",4
"this was a super bowl recipe that came from the ny times, so it's suitable for a bunch of hungry guys:)  adapted from waldy malouf of the beacon restaurant.  you can either microwave this in about 30 minutes or bake it in about 60 minutes.  i microwaved and used my favorite brown mustard, koskiusko.  outside was tasty and crispy and inside was nice and soft.  careful lest your smoke detector goes off.  makes a great snack/appetizer though!",6
"this is easy! cut, blend and pour!",5
great served with white rice,6
"this is a favorite of one of my friends. she keeps a pitcher in the refrigerator for drop-in company. it's a pretty bright blue - just like windex. we usually just add a smidge of lime juice, otherwise we think it is too tart.",5
this is a recipe i modified from one i found online.  the muffins are good.,2
"this makes one quart. great for when you want to put together some jalapenos out of season. i don't use a water bath on this, since it's just one jar, but you could if you wished.",5
these are very yummy and simple to make.,2
"this is a wonderful recipe that allows me to get my chimichanga fix without all the fat of a deep fried restaurant chimichanga.  i team it up with a salad and some rice for a delicious, speedy go-to meal that's fit for company.",1
"the english influence on quebec cuisine can be seen in the name of this recipe. ""pouding"" comes from the english word pudding, but quebec poudings are baked rather than steamed and so they resemble cakes more than english puddings.  posted for zaar world tour ii.",2
"make a single serving cookie in the microwave.  quick, easy and still stay on your diet!!!",2
"i originally got this recipe 30 years ago from my argentine hairdresser. it has evolved somewhat over the years but is basically still the same. they are delicious and worth the effort.
the chimichurry sauce can be made a day ahead to allow the flavors to meld.",3
"i love kale and this is how i like to  make it almost every time.  i'm a hot pepper flake chick, but if that's too much for you, just leave it out!  great as a side dish, but i can eat this as my main meal, maybe just add some chickpeas or cannelini beans in at the end, amazing!",3
"this is a really quick, simple, and flavorful sauté from the victory garden cookbook. it can be served hot or cold, and reheats well.",6
i found this recipe in the november/ december 2007 eating well magazine. cranberries may help arteries remain healthfully elastic and may prevent unnecessary clotting. cranberries can also promote a healthy urinary tract and may inhibit dental plaque.,5
a great alternative to plain old mashed potatoes.,6
from the oct/nov 2007 issue of donna hay magazine.,0
i am a beginning cook. i found this reciipe on the internet. it was delicious and very simple.,4
"called 'em bounty burgers because of their size and all the good stuff on them, *and* i think my husband would put a price on the head of anyone who ate the last one (that's his for the next day) we don't even try to force these into a bun, just serve with fries and a side salad. good for outdoor grilling, or can be done indoors (broil/saute)",6
reminds me of the promise of spring.,0
"this is a warming, rich, sweet and spicy side dish. you can make a meal out of this by serving over rice. top with fried onions.",3
"from sunset ""cookies"" book (1985). the preparation time calculations do not include the minimum 2 hour resting period for the dough.",2
this is a great pick-me-up after school snack/drink for kids. my 16 yo daughter is a smoothie freak and she loves this one. adapted from a recipe from allrecipes.com,5
from kraft.,0
this is wonderful drizzled over steamed vegetables or seafood. can also be used for salads.,7
"i find that this dish needs a few herbs added i usually will try italian herbs, or oregano, or coriander - i leave it up to you or have it plain as is",3
"i've been making this for years without a recipe, so when dale! asked me for the recipe, i had to stop and think. i also use the same mix (less lemon juice) for a pineapple cheesecake. you can add sugar, but i love the tart lemon flavour. if you like your base right up the side of the cheesecake, double the base mixture-i like more cake, less crumbs!",2
"update: this recipe was created by todd wilbur for his cookbook ""top secret recipes unlocked"" (penguin random house 2009). www.topsecretrecipes.com.

a very simple and easy way to make burger king onion rings at home. it does take a little getting used to, but once you get the hang of it, it's pretty easy.  vegetable shortening is best, but you may use vegetable oil if desired.  cooking times and servings are a guess.",1
this looks fantastic. an epicurious.com find--i have been looking for good healthy (and creative) lunch bag stuff when classes start up again....this will keep for up to one week in the fridge if covered well.,7
"we love authentic mexican grilled corn, which calls for crema and queso fresco.when i don't have time to go to the mexican food store, i use this almost authentic recipe using things i have at home.  courtesy of cooks illustrated who tell us that the recipe is close to what is sold by mexican street vendors with more common ingredients -- spicy sweet, smoky and charred!.  (i am giving directions for both charcoal and gas grills.)  note:  if you do have queso fresco or cotija, use either in place of the romano cheese.",3
"delicious, nutritious, and economical. try this on fall harvest feast tables or as a one dish dinner.",6
nummy quick supper from cooking light.,6
mmmmm....pearl onions glazed with orange marmalade. from bhg.,3
i'm adding this dish in response to the eater's digest article on 5 ingredients or less. this is so simple it doesn't seem to really be a recipe. it's also the only way my dh wants pork chops.,4
"this is a family favorite.  it is a great simple recipe, and very delicious.  the better the ingredients, the better the taste, ie don't use margarine!",4
my mum got this recipe off a friend of hers years ago.  they are really nice and easy to make.  i'm not sure where the recipe came from originally.,4
"from ""the florida keys cookbook"", i thought this sounded like a wonderful combination of flavors and textures. sounds great to go with grilled mahi or a tangy island chicken dish.",1
"these are the lightest, and most delicious melt in your mouth pancakes/waffles ever! serve them with maple syrup or any other topping you enjoy. this is one of my mom's recipes. she also looked for recipes that were healthy and tasty.",2
this recipe came from my mil. good for luncheons and brunches. needs to freeze for 4 hours.,4
this is a topping rather than a batter.  it was  a recipe from the savings pack in with my taste of home magazine.  ,2
"i found this recipe in a pampered chef cookbook called, ""it's good for you!""   this light version of a normally high fat entree is creamy and delicious and doesn't taste like ""diet food"".  give it a try, you will be glad you did.
* according to the cookbook it has 300 calories and 8 g. of fat per serving.",4
good old southern side dish. my granny made this one.,6
lovely,0
quick and easy.,0
"a perfect, thrifty way to use up that dab of leftover baked beans.  from the new england chapter of the united states regional cookbook, culinary arts institute of chicago, 1947",4
this is a great breakfast that is truly yummy. the kids will love how it puffs up in the oven. pour syrup over them or use canned apple pie filling that has been heated up.,2
this warm yummy drink is perfect for a winters night.,5
"i cannot remember where i first got this recipe, but it has been a favorite of ours for many years. we like to eat it with fresh bread or rolls on the side.",4
my kids made this at their after-school care and brought the recipe home. they just love this stuff. i think it originated from pillsbury.,4
a great recipe from green living,4
"great for christmas gifts, or just to have around for quick dinner side dishes. posted in reply to a request.",6
these taste much better and are much more healthy than those store bought things. easy and quick to make.  you will never buy another protein bar again!,2
this is a hungarian recipe from epicurious.com.  this is posted for zwt4.,4
a magazine find that i haven't tried yet. i love the ingredients though and plan to try it soon.,5
"in medieval times, a baked dessert like this would have been sunk in the embers of a log fire with a cauldron or pot upturned over it to form a lid.",2
"i am always looking for a new way to cook chicken and this is one of my new favorites.  the chicken stays moist and fall-apart tender and the cheese is yummy, yummy!!  enjoy!",1
"this is as the name says...simple.
have fun gardening or marketing and pick the tenderest swiss chard or endive you can find.  enjoy the freshness of the food.",6
this tastes great on a spinach salad.  would also be good on a cold pasta salad,7
a quick & tasty meal that the whole family should like.,6
"this is my version of sweet & sour shrimp. i've tried and tried to find the exact recipe i was looking for but never found it, so i just made my own! i hope you enjoy it :) i like to use fresh pineapple, but if you cant thats fine. the chunks are optional... i use them sometimes, and othertimes i just leave them out. dont use a lot of pineapple chunks, because its too overwhelming! :)",4
"this sauce is very versatile. you can use it with pasta, chicken, fish, steak, as a dipping sauce for egg or spring rolls, etc... it can also be used as a marinade. get creative!",3
"from nigella lawson's ""nigella express"" episode ""on the run""",0
a nice quick meal.  you can prepare it as written or substitute any other white fish and sauteed asparagus for the snow peas.,6
"the complete book of oriental cooking,  myra waldo, 1963.",0
coffee warmer,0
try something new next chanukah!,5
"this recipe uses that amazing beef you buy precooked in a tub of barbecue sauce in the meat section of your grocery.  it's usually pretty expensive, so this is a nice stretcher.  add whatever toppings you want, like shredded lettuce, tomatoes, guacamole or sour cream.",1
from 1001 low fat recipes,4
"this is from a publix sales flyer. i made it for breakfast, i know i am weird and it was so easy to make and so delicious. try it for yourself, perhaps for dinner. uses supermarket items.",4
"this recipe comes from the 2000 cookbook, ultimate smoothies.",4
a wonderful salad loaded with flavor.,7
"my version of  the pioneer woman's crash hot potatoes. she is not shy about using lots of oil. i am trying to keep things a bit lighter, being a city dweller and all.",0
"yes, i know there are other tomato sausage pasta recipes here, but this one is a bit different and by far my favourite! the semi sundried tomatoes and sage add a lot of flavour; any pasta can be used. this is based on a recipe from ",3
"in '1,000 vegetarian recipes' by carol gelles",4
"this is a wonderful punch to make during the holidays. it is so fragrant it will make everyone in the home come running for a glass! it is not only a great smelling beverage, but it also looks so nice in a punch bowl. perfect for holiday dinners or just sitting around a cozy fire.",5
"whenever i serve this recipe at parties, my guests love them. they are good warm or cold (as leftovers, on the off chance there are actually any left over)",6
"i roasted some duck last night with a blackberry wine marinade and glaze. i went down to the organic market and picked up some yams, acorn squash and turnips. i decided to add bacon and mushrooms and it turned out so good! goes great on a chilly autumn day as a savory rich side dish.",1
"taken from the ottawa citizen on march 14, 2007. this recipe was posted as something kids can make (obviously parents help with cutting and the oven). because they are oven baked and not fried, they are a great healthy snack! i made these tonight. very good but a few tips. make sure you cut to 1/4 inch; i cut mine thinner and about 1/2 burned. cook them in the middle of your oven; i had my rack too low and that's probably another reason they burned.",2
"this is another old family recipe that i grew up eating and love to cook now.  i began working at a grocery store when i was 16 (many, many years ago :-) ) that was the first that i ever knew you could buy noodles!  my mom had always made them from scratch! these are a great side dish simply cooked in the boullion or broth or a great meal when cooked with cooked chicken, turkey, or beef.  (note: preparation time does not include drying time).",1
"these are so good. you will love this drink. they go down so quick and easy. you can substitute with your favorite cherry liquer.  i recommend, creme de cerise, marishino cherry liquer or wild cherry liquer.",5
"this is a delightful salad, often asked for at potlucks and family gatherings. even the children love it. we usually double or triple the recipe.",7
"this is one of my family's favorite chicken recipes (i have many posted on this site!) --- to save time you may coat with the breading mixture, roll up the breasts and refrigerate until ready to bake --- the subtle lemon flavor gives the chicken it a really nice kick  --- there is no need to pound the breasts thin just roll them up as tightly as you can they will stay together during and after baking, also i have even topped them with sliced mozzarella cheese :)",1
recipe taken from the trim & terrific cookbook.  the author recommends having french bread handy to dip in the delicious sauce.,4
these are simply scrumptious!,0
"the best, richest alfredo sauce that we have ever tasted. if possible please use the real parmigiano reggiano, but if you can not, then the grated parmesan that you get from your deli will do fine!",3
"this recipe comes from the moosewood restaurant. it is a great dip for grilled, roasted, and deep-fried vegetables, as well as strips of roasted chicken. great for parties and snacking! it stores well, up to 2-3 weeks in the fridge, just reheat and serve!",4
absolutely fantastic pasta dish. this dish is always a hit. i've been making it for about 10 years and i still get lots of requests for it. it is based on a recipe i found in ,3
this recipe came to me from my mom in law. it is very easy and adaptable. it is so much cheaper then buying those pickled sausages in the store. i keep a jar of these in the refrigarator all the time.,4
"contentmail struck again when they provided this appealing salad option as their e-mail recipe of the day for 8/29/2001! they acknowledged elvee o. who said ""this salad takes no more than 10 min to prepare. it's very simple, but that's the beauty of it. you don't need to add much to fresh asparagus & tomato to make them taste fantastic!"" i think most of us would agree. (time does not include time to cook & cool fresh asparagus)",7
"elegant, yet simple meal. restaurant fare at home. a perfect summer entree, no cook bruschetta and grilled scallops. very low in fat, but big on flavor. can also serve one scallop per person for an appetizer. serving size based on hearty eaters for this one dish meal.",6
"like soup?
want a winter warmer?
comfort food that is quick easy and filling?
love the taste of the good ole underated parsnip?
if you answered yes to all 4 questions...... then this is the soup for you!",6
"i found this recipe in a weekend magazine. it makes for such a great brunch or lunch. simple, quick and tasty.",4
genuine new england seafood chowder with a taste of grandma's special love!,6
from a toh pasta magazine.,0
"a yummy version of friend catfish with a bit more zip than the typical recipes. if you like fried catfish, i think you'll like this.",1
"this spectacular summer salad comes from ingrid hoffman, of the food network's ""simply delicioso"".  it's wonderful as a side dish for grilled chicken, fish, or shrimp.",7
russian heritage cookbook,0
